Date,Bar Name,Brand Name,Demand (ml),Forecast (ml),Par Level (ml),Closing Inventory (ml),Order Quantity (ml),Lost Demand (ml),Stockout Day
2023-12-10,Anderson's Bar,Barefoot,0.0,131.05875,690,444.26,90.0,0.0,False
2023-12-11,Anderson's Bar,Barefoot,0.0,0.0,420,600.0,0.0,0.0,False
2023-12-12,Anderson's Bar,Barefoot,513.52,48.10625,510,176.48000000000002,333.52,0.0,False
2023-12-13,Anderson's Bar,Barefoot,0.0,0.0,420,176.48000000000002,0.0,0.0,False
2023-12-14,Anderson's Bar,Barefoot,0.0,97.9925,600,510.0,90.0,0.0,False
2023-12-15,Anderson's Bar,Barefoot,0.0,73.4925,570,510.0,0.0,0.0,False
2023-12-16,Anderson's Bar,Barefoot,0.0,70.36375000000001,570,600.0,0.0,0.0,False
2023-12-17,Anderson's Bar,Barefoot,0.0,131.05874999999997,690,600.0,90.0,0.0,False
2023-12-18,Anderson's Bar,Barefoot,0.0,0.0,420,600.0,0.0,0.0,False
2023-12-19,Anderson's Bar,Barefoot,287.38,112.29625,630,402.62,227.38,0.0,False
2023-12-20,Anderson's Bar,Barefoot,0.0,0.0,420,402.62,0.0,0.0,False
2023-12-21,Anderson's Bar,Barefoot,0.0,60.2875,540,630.0,0.0,0.0,False
2023-12-22,Anderson's Bar,Barefoot,0.0,0.0,420,630.0,0.0,0.0,False
2023-12-23,Anderson's Bar,Barefoot,0.0,70.36375000000001,570,630.0,0.0,0.0,False
2023-12-24,Anderson's Bar,Barefoot,0.0,131.05874999999997,690,630.0,60.0,0.0,False
2023-12-25,Anderson's Bar,Barefoot,0.0,0.0,420,630.0,0.0,0.0,False
2023-12-26,Anderson's Bar,Barefoot,0.0,148.21875,720,690.0,30.0,0.0,False
2023-12-27,Anderson's Bar,Barefoot,194.55,0.0,420,495.45,0.0,0.0,False
2023-12-28,Anderson's Bar,Barefoot,0.0,60.2875,540,525.45,14.549999999999955,0.0,False
2023-12-29,Anderson's Bar,Barefoot,0.0,0.0,420,525.45,0.0,0.0,False
2023-12-30,Anderson's Bar,Barefoot,142.77,70.36375000000001,570,397.23,172.76999999999998,0.0,False
2023-12-31,Anderson's Bar,Barefoot,0.0,131.05874999999997,690,397.23,120.0,0.0,False
2024-01-01,Anderson's Bar,Barefoot,0.0,0.0,420,570.0,0.0,0.0,False
2023-10-21,Anderson's Bar,Budweiser,0.0,0.0,300,300.0,0.0,0.0,False
2023-10-22,Anderson's Bar,Budweiser,0.0,0.0,300,300.0,0.0,0.0,False
2023-10-23,Anderson's Bar,Budweiser,0.0,50.46,390,300.0,90.0,0.0,False
2023-10-24,Anderson's Bar,Budweiser,0.0,0.0,300,300.0,0.0,0.0,False
2023-10-25,Anderson's Bar,Budweiser,0.0,76.47375,450,390.0,60.0,0.0,False
2023-10-26,Anderson's Bar,Budweiser,0.0,73.49625,420,390.0,0.0,0.0,False
2023-10-27,Anderson's Bar,Budweiser,0.0,52.52625,390,450.0,0.0,0.0,False
2023-10-28,Anderson's Bar,Budweiser,0.0,0.0,300,450.0,0.0,0.0,False
2023-10-29,Anderson's Bar,Budweiser,0.0,0.0,300,450.0,0.0,0.0,False
2023-10-30,Anderson's Bar,Budweiser,0.0,0.0,300,450.0,0.0,0.0,False
2023-10-31,Anderson's Bar,Budweiser,0.0,0.0,300,450.0,0.0,0.0,False
2023-11-01,Anderson's Bar,Budweiser,0.0,76.47375,450,450.0,0.0,0.0,False
2023-11-02,Anderson's Bar,Budweiser,0.0,20.21,330,450.0,0.0,0.0,False
2023-11-03,Anderson's Bar,Budweiser,0.0,52.52625,390,450.0,0.0,0.0,False
2023-11-04,Anderson's Bar,Budweiser,0.0,0.0,300,450.0,0.0,0.0,False
2023-11-05,Anderson's Bar,Budweiser,0.0,0.0,300,450.0,0.0,0.0,False
2023-11-06,Anderson's Bar,Budweiser,0.0,0.0,300,450.0,0.0,0.0,False
2023-11-07,Anderson's Bar,Budweiser,0.0,0.0,300,450.0,0.0,0.0,False
2023-11-08,Anderson's Bar,Budweiser,0.0,76.47375,450,450.0,0.0,0.0,False
2023-11-09,Anderson's Bar,Budweiser,0.0,20.21,330,450.0,0.0,0.0,False
2023-11-10,Anderson's Bar,Budweiser,0.0,52.52625,390,450.0,0.0,0.0,False
